brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Chanel,boy chanel clutch black,a1146624,2021-02-16,2021-02-16,4days,BA,Y
Thom Browne,button stripe pattern wool cardigan black,a1145916,2021-02-09,2021-02-16,4days,O,Y
Goyard,senat GM clutch bag brown,a194275,2020-04-06,2021-02-16,4days,BA,Y
Time,basic pattern H-Line dress blue,a1146453,2021-02-15,2021-02-16,4days,D,Y
Rimowa,topaz 52.,a1146589,2021-02-16,2021-02-16,7days,BA,Y
Gucci,graphics pattern sweat-shirts ivory,a1146579,2021-02-16,2021-02-16,4days,T,Y
Gucci,microssima emily mini bag black,a1146514,2021-02-15,2021-02-16,4days,BA,Y
Louis Vuitton,neonoe escale rainbow,a1146576,2021-02-16,2021-02-16,4days,BA,Y
Gucci,mixed pattern ribbon jacket multi,a1146476,2021-02-15,2021-02-16,4days,T,Y
Louis Vuitton,boite chapeau souple cross bag,a1146573,2021-02-16,2021-02-16,7days,BA,Y
Gucci,jackie 1961 hobo bag brown,a1113847,2020-08-18,2021-02-16,7days,BA,Y
Prada,zipper detail cape padding jumper,a1146569,2021-02-16,2021-02-16,4days,O,Y
Prada,striped strap cross bag,a1142928,2021-01-14,2021-02-16,7days,BA,Y
Burberry Brit,button check pattern shirts beige,a1146516,2021-02-15,2021-02-16,4days,T,Y
Vivienne Westwood,herringbone pattern crop coat,a14106,2018-04-07,2021-02-16,4days,O,Y
Mojosphine,peplum tweed pattern H-Line dress black,a14106,2018-04-07,2021-02-16,4days,D,Y
Gucci,dionysus cross bag,a1146549,2021-02-16,2021-02-16,7days,BA,Y
Frontrow x maison marais,brooch basic pattern jacket black,a1144233,2021-01-23,2021-02-16,4days,O,Y
Gucci,GG marmont quilted-leather belt bag,a1143874,2021-01-20,2021-02-16,7days,BA,Y
Chanel,zipper detail bucket tote bag,a1146535,2021-02-16,2021-02-16,4days,BA,Y
Gucci,microssima emily mini bag cream,a1146393,2021-02-14,2021-02-15,4days,BA,Y
Gucci,snake monogram bag beige,a1146392,2021-02-14,2021-02-15,7days,BA,Y
Diane von Furstenberg,button check pattern A-Line wrap-dress black,a185627,2020-03-01,2021-02-15,7days,D,Y
Paule Ka,pocket basic pattern jacket pink,a1146292,2021-02-13,2021-02-15,7days,O,
Louis Vuitton,chain pattern twist cross bag,a1146289,2021-02-13,2021-02-15,7days,BA,Y
Burberry,stripe pattern blouse brown,a1140430,2020-12-29,2021-02-15,4days,T,Y
Saint Laurent,chevron quilted bag black,a184158,2020-02-22,2021-02-15,4days,BA,Y
Sandro,ribbon basic pattern H-Line dress navy,a1131828,2020-11-20,2021-02-15,4days,D,Y
Reneevon,punching flower pattern H-Line dress black,a1145222,2021-02-02,2021-02-15,4days,D,Y
Dolly Girl Anna Sui,square neck flower pattern dress,a1145222,2021-02-02,2021-02-15,4days,D,Y
Louis Vuitton,epi tote bag black,a1146244,2021-02-13,2021-02-15,7days,BA,Y
Prada,gradation color padding jumper,a1146458,2021-02-15,2021-02-15,7days,O,Y
Gucci,sylvie mini chain ribbon bag red,a1146180,2021-02-12,2021-02-15,7days,BA,Y
Chanel,color block logo clutch 2,a1146354,2021-02-14,2021-02-15,4days,BA,Y
Prada,top handle corssbody bag black,a1135906,2020-12-08,2021-02-15,7days,BA,Y
Chanel,pocket tweed pattern cashmere coat pink,a1146377,2021-02-14,2021-02-15,7days,O,Y
Chanel,boy chanel clutch black,a1146377,2021-02-14,2021-02-15,7days,BA,Y
Miu Miu,vintage mood slim collar coat,a1146155,2021-02-12,2021-02-14,7days,O,Y
Prada,pionniere bag brown,a1146306,2021-02-13,2021-02-14,7days,BA,Y
Louis Vuitton,verni shoulder bag purple,a1145891,2021-02-09,2021-02-14,7days,BA,Y
Saint Laurent,monogram chain wallet bag black,a1146283,2021-02-13,2021-02-14,4days,BA,
Michaa,black line point belt dress white,a1146132,2021-02-11,2021-02-14,7days,D,Y
Convexo Concave,button basic pattern shirts black,a1145686,2021-02-06,2021-02-14,4days,T,Y
Convexo Concave,pleats flower pattern doublebreasted-jacket black,a1145686,2021-02-06,2021-02-14,4days,O,Y
Boss,button stripe pattern dress-shirts navy,a1145686,2021-02-06,2021-02-14,4days,T,Y
Gucci,wood handle dionysus bag,a1146305,2021-02-13,2021-02-14,4days,BA,Y
Gucci,dionysos velvet chain shoulder bag navy,a1146300,2021-02-13,2021-02-13,7days,BA,Y
Saint Laurent,leather tassel cross body bag gray,a1141632,2021-01-08,2021-02-13,4days,BA,
Balmain,strap basic pattern wool coat black,a145138,2019-10-04,2021-02-13,7days,O,Y
Chanel,classic clutch black,a145138,2019-10-04,2021-02-13,7days,BA,Y
Saint Laurent,chevron quilted cross bag beige,a1145376,2021-02-03,2021-02-13,4days,BA,
Wai Kei,pocket basic pattern padding-outer skyblue,a1146242,2021-02-13,2021-02-13,4days,O,
Louis Vuitton,vanity bag brown,a1146209,2021-02-12,2021-02-12,7days,BA,Y
Dewl,rose printing dress black,a1146195,2021-02-12,2021-02-12,4days,D,Y
Gucci,padlock GG canvas shoulder bag,a1146195,2021-02-12,2021-02-12,4days,BA,Y
Michael Michael Kors,button basic pattern cardigan khaki,a1145897,2021-02-09,2021-02-12,7days,T,Y
Balmain,double button long coat white,a1145383,2021-02-03,2021-02-12,7days,O,Y
Thom Browne,button stripe pattern singlebreasted-jacket navy,a1143602,2021-01-17,2021-02-12,7days,O,Y
Louis Vuitton,epi tote bag black,a1146147,2021-02-12,2021-02-12,7days,BA,
Maison Margiela,5ac tote bag brown,a1145853,2021-02-08,2021-02-11,7days,BA,Y
Louis Vuitton,very shoulder bag black,a1145931,2021-02-09,2021-02-10,4days,BA,Y
System,fur detail coat beige 2,a1146001,2021-02-10,2021-02-10,4days,O,Y
Fendi,regular 2jours black,a1145924,2021-02-09,2021-02-10,4days,BA,Y
Calvin Klein,basic pattern H-Line halterneck-dress black,a1110007,2020-07-31,2021-02-09,7days,D,Y
EYEYE,slit check pattern H-Line knit-dress black,a1145809,2021-02-07,2021-02-09,7days,D,Y
Thom Browne,button stripe pattern cashmere sweater grey,a1140983,2021-01-03,2021-02-09,7days,T,Y
Opening Ceremony,stripe pattern top black,a1103749,2020-06-09,2021-02-09,4days,T,Y
Burberry London,belt basic pattern coat black,a185716,2020-03-01,2021-02-09,7days,O,
Prada,daino crossbody bag pink,a190885,2020-03-27,2021-02-09,4days,BA,Y
Beaker,drop shoulder coat yellow,a177202,2020-01-25,2021-02-09,7days,O,Y
El estilo de Claire,X strap shirring dress black,a1103838,2020-06-10,2021-02-09,4days,D,Y
Fayewoo,see-through lace detail tunic dress black,a1144425,2021-01-25,2021-02-09,4days,D,Y
Louis Vuitton,alma epi pm tote bag black,a1144425,2021-01-25,2021-02-09,4days,BA,Y
Molliolli,pocket basic pattern fur-outer beige,a1144607,2021-01-26,2021-02-09,7days,O,Y
Prada,front button check pattern jacket,a145344,2019-10-05,2021-02-09,4days,O,Y
Louis Vuitton,favorite MM shoulder bag,a1145908,2021-02-09,2021-02-09,7days,BA,Y
Olive des Olive,modern mood coat black,a1145908,2021-02-09,2021-02-09,4days,O,Y
Dolce & Gabbana,strap basic pattern jacket navy,a1145658,2021-02-06,2021-02-09,4days,O,Y
Celine,drop shoulder boxy coat,a1145899,2021-02-09,2021-02-09,4days,O,Y
Fendi,belt motive clutch bag,a1145887,2021-02-08,2021-02-09,7days,BA,Y
Fendi,peekaboo tote bag beige,a1145888,2021-02-09,2021-02-09,4days,BA,Y
Louis Vuitton,logo enamel clutch black,a1145082,2021-02-01,2021-02-08,4days,BA,Y
Miu Miu,madras leather crossbody black,a1145644,2021-02-06,2021-02-08,4days,BA,Y
Canada Goose,high neck padding vest,a155710,2019-11-13,2021-02-08,4days,O,Y
Christian Dior,vintage blue coat,a1145822,2021-02-08,2021-02-08,7days,O,Y
Max Mara,pocket graphics pattern cardigan brown,a1145822,2021-02-08,2021-02-08,4days,O,Y
Chloe,drew bag red,a1145822,2021-02-08,2021-02-08,7days,BA,Y
Max Mara,strap basic pattern wrap-coat black,a1145400,2021-02-03,2021-02-08,7days,O,Y
Thom Browne,slit stripe pattern wool top grey,a1145107,2021-02-01,2021-02-08,7days,T,Y
Saint Laurent,matlase monogram bag black,a1145834,2021-02-08,2021-02-08,4days,BA,Y
Gucci,leather point cross bag,a1145830,2021-02-08,2021-02-08,4days,BA,
Gucci,GG supreme clutch brown,a156051,2019-11-14,2021-02-08,4days,BA,Y
Chanel,boy caviar quilted cluth black,a1145545,2021-02-05,2021-02-08,7days,BA,Y
Rebecca Minkoff,bell line slip dress black,a1145581,2021-02-05,2021-02-08,4days,D,Y
Vince,pocket basic pattern fur-outer brown,a1145581,2021-02-05,2021-02-08,4days,O,Y
Bottega Veneta,basic pattern H-Line dress black,a1145581,2021-02-05,2021-02-08,4days,D,Y
Gucci,GG marmont shoulder bag pink,a1145762,2021-02-07,2021-02-07,7days,BA,Y
Chanel,quilted enamel shoulder bag burgundy,a138391,2019-09-05,2021-02-07,7days,BA,Y
Chanel,tweed jacket brown,a1145719,2021-02-07,2021-02-07,7days,O,Y
Prada,tweed texture chain bag,a1145528,2021-02-05,2021-02-07,7days,BA,Y
DKNY,knit flare long dress,a1143905,2021-01-20,2021-02-07,4days,D,Y
Dolce & Gabbana,pocket check pattern singlebreasted-coat,a1143905,2021-01-20,2021-02-07,4days,O,Y
Coach,surrey carryall bag brown,a1143905,2021-01-20,2021-02-07,4days,BA,Y
Overdueflair,pleats basic pattern pleats-skirt grey,a1139100,2020-12-22,2021-02-06,4days,B,Y
Yves Saint Laurent,kate small monogram bag beige,a1145459,2021-02-04,2021-02-06,4days,BA,Y
Olive des Olive,ruffle tweed pattern blouse pink,a1145488,2021-02-04,2021-02-06,7days,T,Y
Gucci,vintage web shoulder bag black,a1145410,2021-02-03,2021-02-06,7days,BA,Y
Fendi,3jours two way bag beige,a1145641,2021-02-06,2021-02-06,4days,BA,Y
Saint Laurent,chevron quilted cross bag green,a1145612,2021-02-06,2021-02-06,4days,BA,Y
Gucci,padlock GG canvas shoulder bag,a1145515,2021-02-04,2021-02-05,4days,BA,Y
Sorry Too Much Love,button basic pattern A-Line dress cream,a116095,2019-02-18,2021-02-05,7days,D,Y
Max Mara,button color block pattern coat black,a1101514,2020-05-25,2021-02-05,4days,O,Y
Dewl,button basic pattern A-Line dress beige,a116095,2019-02-18,2021-02-05,7days,D,Y
Gucci,dionysus cross bag beige,a1145559,2021-02-05,2021-02-05,4days,BA,Y
Burberry,button check pattern dress brown,a1125807,2020-10-21,2021-02-05,4days,D,Y
Chanel,grand-shopping caviar cream,a1145380,2021-02-03,2021-02-05,7days,BA,Y
Gucci,dionysus shoulder bag beige,a1145471,2021-02-04,2021-02-05,7days,BA,Y
Yves Saint Laurent,chevron quilting cross bag black,a1145218,2021-02-02,2021-02-05,7days,BA,Y
Thom Browne,basic pattern skirt grey,a1129550,2020-11-09,2021-02-05,4days,B,Y
Thom Browne,button basic pattern t-shirts white,a1129550,2020-11-09,2021-02-05,4days,T,Y
Balmain,quilting detail denim skirt,a1129550,2020-11-09,2021-02-05,4days,B,Y
Off White,black point check shirt_1,a1129550,2020-11-09,2021-02-05,4days,T,Y
Balmain,basic pattern sweat-shirts white,a1129550,2020-11-09,2021-02-05,4days,T,Y
Burberry,embroidery basic pattern sweater ivory,a1129550,2020-11-09,2021-02-05,4days,T,Y
Gucci,mamont chain mini cross bag black,a189598,2020-03-22,2021-02-05,7days,BA,Y
Marc New York,fur collar padding jumper black,a183676,2020-02-19,2021-02-05,4days,O,Y
Marni,trunk mini saffiano bag black,a183676,2020-02-19,2021-02-05,4days,BA,Y
Aspesi,high neck padding jumper black,a183676,2020-02-19,2021-02-05,4days,O,Y
VOV,check pattern hood wrap coat,a1145533,2021-02-05,2021-02-05,4days,O,Y
Time homme,button basic pattern doublebreasted-coat brown,a1145531,2021-02-05,2021-02-05,4days,O,Y
Gucci,vintage web GG two way bag brown,a1145531,2021-02-05,2021-02-05,4days,BA,Y
Thom Browne,graphics pattern sweat-shirts grey,a1126933,2020-10-27,2021-02-05,7days,T,Y
Maje,check pattern A-Line dress,a1145518,2021-02-04,2021-02-05,7days,D,Y
Ralph Lauren,strap basic pattern wrap-coat black,a1145485,2021-02-04,2021-02-05,4days,O,Y
Vivienne Westwood,button basic pattern A-Line dress charcoal,a1145163,2021-02-02,2021-02-05,7days,D,Y
Max Mara,draping detail raglan sleeve dress,a1145162,2021-02-02,2021-02-05,4days,D,Y
Molliolli,button basic pattern fur-outer beige,a1145498,2021-02-04,2021-02-04,7days,O,
Sandro,dots pattern H-Line dress deeppink,a1144299,2021-01-24,2021-02-04,4days,D,Y
Gucci,mammont chain wallet bag black,a1144976,2021-01-30,2021-02-04,4days,BA,Y
Carven,round collar raglan sleeve coat,a1144976,2021-01-30,2021-02-04,4days,O,Y
Fendi,runaway regular bag,a1145187,2021-02-02,2021-02-04,7days,BA,Y
Chanel,classic clutch black,a1145073,2021-02-01,2021-02-04,4days,BA,Y
Chanel,classic clutch black,a1145436,2021-02-04,2021-02-04,7days,BA,Y
Fendi,monogram zucchino shoulder bag,a1145478,,2021-02-04,4days,BA,
Saint Laurent,chevron quilted bag black,a1145479,2021-02-04,2021-02-04,4days,BA,
Max Mara,string belted padding jumper pink,a1102098,2020-05-29,2021-02-04,4days,O,Y
Chanel,zipper detail bucket tote bag,a1102098,2020-05-29,2021-02-04,4days,BA,Y
Gucci,marmont gg logo quilted bag Black,a1143565,2021-01-17,2021-02-04,4days,BA,Y
thom browne,zipper clutch black,a1145467,2021-02-04,2021-02-04,4days,BA,
Saint Laurent,chevron quilting cross bag cream,a1145230,2021-02-02,2021-02-04,4days,BA,
Valentino,rockstud cross bag orange,a113690,2018-12-29,2021-02-04,4days,BA,Y
Chanel,boy chanel clutch black,a1145135,2021-02-01,2021-02-04,7days,BA,Y
Gucci,marmont GG logo quilted bag black,a1145346,2021-02-03,2021-02-04,7days,BA,
Ralph Lauren,button basic pattern shirts white,a1139551,2020-12-23,2021-02-04,4days,T,Y
Gucci,flap cross bag grey,a1144947,2021-01-30,2021-02-04,4days,BA,Y
Thom Browne,button basic pattern jacket grey,a1145427,2021-02-04,2021-02-04,4days,O,Y
Saint Laurent,chevron quilted cross bag black,a1145337,2021-02-03,2021-02-04,4days,BA,
Gucci,logo pointed cross bag,a1145417,2021-02-04,2021-02-04,7days,BA,
Chanel,boy chanel clutch black,a1145406,2021-02-03,2021-02-04,7days,BA,Y
Rouje,flower pattern blouse burgundy,a119446,2019-04-05,2021-02-04,4days,T,Y
Louis Vuitton,damier eben tote bag,a1145137,2021-02-01,2021-02-04,7days,BA,Y
It michaa,button basic pattern coat red,a144328,2019-09-30,2021-02-04,4days,O,Y
,[66]El estilo de Claire - wang letter neoprene top_pleats leather style skirt black,a1139388,2020-12-23,2021-02-04,4days,TP,Y
,embroidery twist knit & mini gored skirt,a1139388,2020-12-23,2021-02-04,4days,TP,Y
Miu Miu,zig zag pattern cardigan multi,a1139388,2020-12-23,2021-02-04,4days,O,Y
Christian Dior,pleats basic pattern wool pleats-skirt brown,a1139388,2020-12-23,2021-02-04,4days,B,Y
Prada,daino crossbody bag black 2,a1145353,2021-02-03,2021-02-04,4days,BA,Y
Prada,saffiano cross chain bag black,a1145165,2021-02-02,2021-02-04,7days,BA,Y
El estilo de Claire,roll-up detail jumpsuit khaki,a1145130,2021-02-01,2021-02-04,4days,D,Y
Dior,oblique canvas half moon bag,a1145130,2021-02-01,2021-02-04,4days,BA,Y
Yves Saint Laurent,coll?ge medium cross bag,a1145238,2021-02-02,2021-02-03,7days,BA,Y
Gucci,dionysus shoulder bag beige,a1117773,2020-09-03,2021-02-03,4days,BA,
BYREDO,discover the stencil embellishment,a1145263,2021-02-02,2021-02-03,7days,BA,Y
Miu Miu,matelasse shoulder bag black,a1145170,2021-02-02,2021-02-03,7days,BA,Y
Gucci,GG clutch chain bag,a1145046,2021-01-31,2021-02-03,7days,BA,Y
Alexander Mcqueen,belted short jacket cream 1,a1145279,2021-02-03,2021-02-03,4days,O,Y
Prada,round neck cardigan beige,a1145279,2021-02-03,2021-02-03,4days,T,Y
Prada,color strap shoulder bag navy,a1145279,2021-02-03,2021-02-03,4days,BA,Y
Banana Republic,button stripe pattern sweater mustard,a1145335,2021-02-03,2021-02-03,4days,T,Y
Prada,check pattern lined vest,a1110447,2020-08-05,2021-02-03,4days,T,Y
Sandro,flower pattern v-neck long dress,a180457,2020-02-06,2021-02-03,4days,D,Y
Gucci,ribbon basic pattern jacket pink,a1145200,2021-02-02,2021-02-03,4days,O,Y
Chanel,quilted shoulder bag black,a1145327,2021-02-03,2021-02-03,4days,BA,Y
Chanel,boy chanel crossbody bag black,a1145060,2021-01-31,2021-02-03,4days,BA,Y
Chanel,classic logo chain shoulder bag white,a1110831,2020-08-09,2021-02-03,4days,BA,Y
Yves Saint Laurent,kate small monogram bag black,a1145296,2021-02-03,2021-02-03,7days,BA,Y
Prada,medium Nylon Backpack black,a1135783,2020-12-07,2021-02-03,4days,BA,Y
Gucci,sylvie leather mini chain bag black,a1145175,2021-02-02,2021-02-03,7days,BA,Y
El estilo de Claire,button basic pattern doublebreasted-coat black,a1145175,2021-02-02,2021-02-03,4days,O,Y
Vivienne Westwood,basic pattern H-Line wool dress black,a1145175,2021-02-02,2021-02-03,7days,D,Y
Saint Laurent,button basic pattern shirts blue,a1139101,2020-12-22,2021-02-03,4days,T,Y
Gucci,dionysus cross bag black,a1144971,2021-01-30,2021-02-02,7days,BA,Y
Isabel Marant,big double button coat gray,a150969,2019-10-25,2021-02-02,4days,O,Y
Dolce & Gabbana,pleats detail tweed dress multi,a150969,2019-10-25,2021-02-02,4days,D,Y
Gucci,vintage web round cross bag black,a1145249,2021-02-02,2021-02-02,4days,BA,Y
Vivienne Westwood,nappa clasp chain bag,a1144940,2021-01-30,2021-02-02,7days,BA,Y
Christian Dior,classic two way bag pink,a1143720,2021-01-18,2021-02-02,7days,BA,Y
Michaa,check pattern H-Line dress,a1145226,2021-02-02,2021-02-02,4days,D,
Burberry,vintage check and leather cross bag black,a1144705,2021-01-27,2021-02-02,7days,BA,Y
SJSJ,center embroidery dress ivory,a1145224,2021-02-02,2021-02-02,4days,D,Y
Imvely,ribbon flower pattern A-Line dress multi,a1145224,2021-02-02,2021-02-02,4days,D,Y
Self-portrait,lace flower pattern peplum-dress,a1145217,2021-02-02,2021-02-02,4days,D,Y
Louis Vuitton,monogram shoulder bag black,a1143575,2021-01-17,2021-02-02,7days,BA,Y
Saint Laurent,chevron quilted cross bag black,a1145206,2021-02-02,2021-02-02,4days,BA,Y
Prada,small logo bucket bag black,a1145039,2021-01-31,2021-02-02,7days,BA,Y
Gucci,vintage web shoulder bag black,a1144530,2021-01-26,2021-02-02,4days,BA,
Yves Saint Laurent,chevron logo clutch bag black,a1144530,2021-01-26,2021-02-02,4days,BA,
Givenchy,ribbon basic pattern H-Line dress black,a1144530,2021-01-26,2021-02-02,4days,D,Y
Louis Vuitton,verni clutch chain bag pink,a1145051,2021-01-31,2021-02-02,4days,BA,Y
Gucci,marmont gg logo quilted bag Black,a1145191,2021-02-02,2021-02-02,4days,BA,Y
Max Mara,single breasted long coat black,a1145191,2021-02-02,2021-02-02,4days,O,Y
Louis Vuitton,monogram eva clutch,a1141254,2021-01-05,2021-02-02,4days,BA,Y
Gucci,mamont chain bag red,a1140427,2020-12-29,2021-02-02,7days,BA,Y
Gucci,lettering pattern sweater black,a1145176,2021-02-02,2021-02-02,7days,T,Y
Gucci,lettering point two way bag brown,a143043,2019-09-26,2021-02-02,4days,BA,Y
Stylenanda,leopard pattern frill long dress_,a1145144,2021-02-01,2021-02-02,4days,D,Y
The Clozet,pocket point fur jumper black,a1145144,2021-02-01,2021-02-02,4days,O,Y
Louis Vuitton,verni mini clutch chain bag brown,a1145144,2021-02-01,2021-02-02,4days,BA,Y
Dewl,button basic pattern jacket black,a159684,2019-11-29,2021-02-02,7days,O,Y
Bulgari,serpenti bag green,a159684,2019-11-29,2021-02-02,7days,BA,Y
Gucci,quilted GG marmont clutch bag,a1145156,2021-02-01,2021-02-01,7days,BA,Y
Gucci,padlock GG canvas chain bag 2,a1145123,2021-02-01,2021-02-01,4days,BA,Y
Saint Laurent,quilted calfskin shoulder bag,a1144954,2021-01-30,2021-02-01,4days,BA,Y
Ted Baker,color block pattern wool fur-outer,a139044,2019-09-07,2021-02-01,4days,O,Y
Gucci,pattern pointed a-line skirts,a1135235,2020-12-04,2021-02-01,4days,B,Y
Chloe,faye small bag black,a1144998,2021-01-31,2021-02-01,4days,BA,
Prada,button basic pattern coat black,a1144978,2021-01-31,2021-02-01,7days,O,Y
Saint Laurent,mini sunset chain bag black,a1145011,2021-01-31,2021-02-01,7days,BA,Y
Gucci,jackie 1961 hobo bag brown,a1145076,2021-02-01,2021-02-01,7days,BA,Y
Burberry,button check pattern H-Line dress multi,a1151196,2021-03-28,2021-03-31,7days,D,
El estilo de Claire,frill stripe knit cardigan muti,a1151564,2021-03-31,2021-03-31,7days,T,
Chanel,tweed jacket brown,a1148120,2021-03-03,2021-03-31,4days,O,
Chloe,round handle tote bag black,a117466,2019-03-06,2021-03-31,4days,BA,Y
Gucci,vintage web shoulder bag black,a110727,2018-10-27,2021-03-31,4days,BA,
McGinn,flower lace layered dress pink,a1151265,2021-03-29,2021-03-31,4days,D,Y
Max Mara,classic mood check pattern jacket,a1151260,2021-03-29,2021-03-31,7days,O,Y
Theory,belt basic pattern trench-coat black,a184442,2020-02-23,2021-03-31,4days,O,Y
Louis Vuitton,monogram canvas clutch bag,a13741,2018-03-20,2021-03-31,4days,BA,Y
Lanvin Collection,gather basic pattern H-Line dress charcoal,a1150967,2021-03-26,2021-03-31,7days,D,Y
Mine,basic pattern H-Line wool dress grey,a1150967,2021-03-26,2021-03-31,7days,D,Y
Chanel,classic clutch black,a1151106,2021-03-28,2021-03-31,4days,BA,Y
Gucci,flap cross bag black,a1151181,2021-03-28,2021-03-31,7days,BA,Y
Fayewoo,gather check pattern H-Line dress multi,a1151136,2021-03-28,2021-03-31,7days,D,
Burberry,button basic pattern top black,a1150877,2021-03-26,2021-03-31,4days,T,Y
Nain,long sleeve lace dress ivory,a1150759,2021-03-25,2021-03-31,4days,D,
Gucci,graphics pattern sweat-shirts ivory,a1151496,2021-03-31,2021-03-31,7days,T,Y
Saint Laurent,chevron quilted cross bag black,a125904,2019-05-24,2021-03-31,4days,BA,Y
Saint Laurent,sac de jour tote pink,a1151046,2021-03-27,2021-03-31,7days,BA,Y
Louis Vuitton,Mogram neonoe bucket brown bag,a174354,2020-01-16,2021-03-31,4days,BA,Y
Alexander Mcqueen,pocket basic pattern jacket charcoal,a1121652,2020-09-28,2021-03-31,4days,O,Y
Lucky Chouette,button check pattern shirts multi,a157459,2019-11-21,2021-03-31,4days,T,Y
Gucci,GG supreme clutch brown,a1151499,2021-03-31,2021-03-31,4days,BA,Y
Michaa,gather basic pattern H-Line dress green,a1144560,2021-01-26,2021-03-31,4days,D,Y
Nain,wrap detail coat beige,a1151465,2021-03-31,2021-03-31,7days,O,
Theory,pocket basic pattern skirt white,a1151481,2021-03-31,2021-03-31,4days,B,Y
Burberry,button basic pattern wool cardigan grey,a1151479,2021-03-31,2021-03-31,4days,O,Y
Prada,basic pattern padding-outer black,a1151457,2021-03-30,2021-03-31,4days,O,Y
Louis Vuitton,verni mini clutch chain bag black,a1151301,2021-03-29,2021-03-31,4days,BA,Y
Fendi,stripe pattern two way bucket bag brown,a1151466,2021-03-31,2021-03-31,7days,BA,Y
Saint Laurent,monogram clutch black,a1148598,2021-03-08,2021-03-31,4days,BA,Y
A.P.C.,half round chain bag black,a129477,2019-06-13,2021-03-31,4days,BA,Y
Banana Republic,button basic pattern pants brown,a1151213,2021-03-29,2021-03-31,4days,B,Y
Cos,pocket basic pattern jacket beige,a1151437,2021-03-30,2021-03-31,4days,O,Y
Gucci,logo pointed cross bag black,a1117995,2020-09-05,2021-03-31,4days,BA,Y
Yves Saint Laurent,chevron pattern chain bag beige,a1100548,2020-05-16,2021-03-31,4days,BA,Y
On&On,slit basic pattern skirt black,a1100548,2020-05-16,2021-03-31,4days,B,Y
Dolce & Gabbana,classic two way bag beige,a1151332,2021-03-29,2021-03-30,7days,BA,Y
Thom Browne,basic pattern sweat-shirts grey,a1151404,2021-03-30,2021-03-30,4days,T,Y
Gucci,GG marmont quilted-leather belt bag,a1151404,2021-03-30,2021-03-30,7days,BA,Y
Fendi,diabolic eyes clutch bag,a1110169,2020-08-02,2021-03-30,4days,BA,Y
& Other Stories,button basic pattern A-Line dress skyblue,a1110169,2020-08-02,2021-03-30,4days,D,Y
Yves Saint Laurent,chevron quilting cross bag black,a1151433,2021-03-30,2021-03-30,4days,BA,
Dolce & Gabbana,lace long sleeve dress green,a1117957,2020-09-05,2021-03-30,4days,D,
Gucci,brooch check pattern H-Line dress ivory,a1117957,2020-09-05,2021-03-30,4days,D,
Saint Laurent,leather tassel cross body bag gray,a1151413,2021-03-30,2021-03-30,4days,BA,Y
Givenchy,antigona S black 2,a1151117,2021-03-28,2021-03-30,7days,BA,Y
,ribbon flower pattern blouse black & pleats flower pattern pleats-skirt black,a1149885,2021-03-18,2021-03-30,4days,TP,Y
Imvely,ruffle flower pattern A-Line dress,a1151410,2021-03-30,2021-03-30,4days,D,Y
Since then,gather flower pattern A-Line dress burgundy,a1151410,2021-03-30,2021-03-30,4days,D,Y
& Other Stories,ribbon flower pattern A-Line dress multi,a1151410,2021-03-30,2021-03-30,4days,D,Y
Comme des Garcons,heart logo pointed stripe shirts blue,a1142323,2021-01-11,2021-03-30,4days,T,Y
Christian Dior,lucky badges handle bag black,a1151362,2021-03-30,2021-03-30,4days,BA,Y
Reneevon,flare line lace dress pink,a1151131,2021-03-28,2021-03-30,4days,D,
Dolce & Gabbana,feminine mood flower shirring dress,a1144481,2021-01-25,2021-03-30,4days,D,Y
Thom Browne,button stripe pattern shirts white,a1144481,2021-01-25,2021-03-30,4days,T,Y
Louis Vuitton,Pochette trunk vertical black bag,a1151051,2021-03-27,2021-03-30,4days,BA,Y
Chanel,Tote beige bag,a1136536,2020-12-11,2021-03-30,7days,BA,Y
Louis Vuitton,monogram milla pochette MM,a1151153,2021-03-28,2021-03-30,4days,BA,Y
Studio Tomboy,button basic pattern singlebreasted-jacket khaki,a1151309,2021-03-29,2021-03-29,4days,O,Y
,color lace blouse & color lace skirt,a110947,2018-11-01,2021-03-29,7days,TP,Y
Maje,pocket basic pattern jump-suit brown,a1151307,2021-03-29,2021-03-29,7days,D,Y
Gucci,sylvie leather mini chain bag red,a144279,2019-09-30,2021-03-29,7days,BA,Y
Gucci,vintage web cross bag brown,a1151303,2021-03-29,2021-03-29,7days,BA,
Balenciaga,ville logo bag green,a1150992,2021-03-27,2021-03-29,4days,BA,Y
Gucci,microssima emily mini bag black,a1151297,2021-03-29,2021-03-29,4days,BA,Y
Sandro,gather basic pattern A-Line tulle-dress nude,a1148878,2021-03-10,2021-03-29,4days,D,Y
& Other Stories,flower pattern A-Line dress ivory,a1148878,2021-03-10,2021-03-29,4days,D,Y
Gucci,mammont chain wallet bag black,a1151023,2021-03-27,2021-03-29,7days,BA,
Chanel,quilted shoulder bag black,a1151163,2021-03-28,2021-03-29,7days,BA,Y
El estilo de Claire,lace flower pattern H-Line dress green,a1150975,2021-03-26,2021-03-29,7days,D,Y
Celine,Luggage pink bag,a1150941,2021-03-26,2021-03-29,7days,BA,Y
Polo Ralph Lauren,paisley print pattern skirt,a171071,2020-01-06,2021-03-29,4days,B,Y
Gucci,sylvie leather mini chain bag black,a1100887,2020-05-19,2021-03-29,7days,BA,Y
